Date,Seller (Entity),Company,Value (USD),Security Type,Filing URL
2026-03-25,Luis Andre Carpintero Blanco,Afya Ltd,749939.19,Class A Common Shares,https://www.sec.gov/Archives/edgar/data/2064560/000095010326004530/0000950103-26-004530-index.htm
2026-03-24,Lee Yew Hon,"FingerMotion, Inc.",151620.0,Common Stock,https://www.sec.gov/Archives/edgar/data/1846239/000184623926000003/0001846239-26-000003-index.htm
2026-03-23,Michael Sentonas,"CrowdStrike Holdings, Inc.",7921103.0,Class A Common Stock,https://www.sec.gov/Archives/edgar/data/1968270/000095010326004536/0000950103-26-004536-index.htm
2026-03-23,Eric Batill,"ChargePoint Holdings, Inc.",14274.95,Common Stock,https://www.sec.gov/Archives/edgar/data/2078710/000207871026000003/0002078710-26-000003-index.htm
2026-03-23,David Vice,"ChargePoint Holdings, Inc.",5916.56,Common Stock,https://www.sec.gov/Archives/edgar/data/2037966/000203796626000002/0002037966-26-000002-index.htm
2026-03-23,Jagdeep Singh,"ChargePoint Holdings, Inc.",13570.48,Common Stock,https://www.sec.gov/Archives/edgar/data/2014204/000201420426000004/0002014204-26-000004-index.htm
2026-03-23,Mansi Khetani,"ChargePoint Holdings, Inc.",12240.97,Common Stock,https://www.sec.gov/Archives/edgar/data/2001123/000200112326000003/0002001123-26-000003-index.htm
2026-03-23,"Silver Lake Technology Investors V, L.P.",Dell Technologies Inc.,259997.83,Class C Common Stock,https://www.sec.gov/Archives/edgar/data/1735863/000119312526120212/0001193125-26-120212-index.htm
2026-03-23,"Silver Lake Technology Investors IV, L.P.",Dell Technologies Inc.,576599.19,Class C Common Stock,https://www.sec.gov/Archives/edgar/data/1672565/000119312526120206/0001193125-26-120206-index.htm
2026-03-23,"Silver Lake Partners V DE (AIV), L.P.",Dell Technologies Inc.,15461593.21,Class C Common Stock,https://www.sec.gov/Archives/edgar/data/1737659/000119312526120197/0001193125-26-120197-index.htm
2026-03-23,"Silver Lake Partners IV, L.P.",Dell Technologies Inc.,30186079.17,Class C Common Stock,https://www.sec.gov/Archives/edgar/data/1571996/000119312526120188/0001193125-26-120188-index.htm
2026-03-23,"SL SPV-2, L.P.",Dell Technologies Inc.,26043930.6,Class C Common Stock,https://www.sec.gov/Archives/edgar/data/1767114/000119312526120185/0001193125-26-120185-index.htm
2026-03-23,Daniel D'Amato,Almonty Industries Inc.,84650000.0,Common,https://www.sec.gov/Archives/edgar/data/2119202/000149315226012213/0001493152-26-012213-index.htm
2026-03-23,Michael Lewis Black,Almonty Industries Inc.,84650000.0,Common,https://www.sec.gov/Archives/edgar/data/2079197/000149315226012214/0001493152-26-012214-index.htm
2026-03-23,George Robert Kurtz,"CROWDSTRIKE HOLDINGS, INC.",13053235.0,Class A Common,https://www.sec.gov/Archives/edgar/data/1778564/000196858226000312/0001968582-26-000312-index.htm
2026-03-23,Nicholas Olds,Conoco Phillips,888371.58,Common,https://www.sec.gov/Archives/edgar/data/1819979/000162828026020619/0001628280-26-020619-index.htm
2026-03-23,MICHAEL A STANKEY,"OKTA, INC.",15422433.0,Common,https://www.sec.gov/Archives/edgar/data/1660134/000195004726002929/0001950047-26-002929-index.htm
2026-03-23,Blain Tiffany,Kaiser Aluminum,797415.9,common,https://www.sec.gov/Archives/edgar/data/1323719/000196922326000385/0001969223-26-000385-index.htm
2026-03-23,Robin Leopold,JPMORGAN CHASE & CO.,127760.98,Common Stock,https://www.sec.gov/Archives/edgar/data/1726825/000172682526000004/0001726825-26-000004-index.htm
2026-03-23,Sargent Family Investment LLC,Five Below Inc.,2300000.0,Common,https://www.sec.gov/Archives/edgar/data/1180656/000196922326000384/0001969223-26-000384-index.htm
2026-03-23,Lee Kang Jyh,PHOTRONICS INC,390000.0,Common,https://www.sec.gov/Archives/edgar/data/1748668/000195917326002583/0001959173-26-002583-index.htm
2026-03-23,Scannell William F,Dell Technologies Inc.,23606055.0,Class C,https://www.sec.gov/Archives/edgar/data/1571996/000195917326002582/0001959173-26-002582-index.htm
2026-03-23,Yao Huiwen,"AST SpaceMobile, Inc.",3597200.0,Class A Common Stock,https://www.sec.gov/Archives/edgar/data/2027976/000121390026033002/0001213900-26-033002-index.htm
2026-03-23,Hemhauser Maureen,PEAPACK GLADSTONE FINANCIAL CORP,17128.06,Common,https://www.sec.gov/Archives/edgar/data/1786533/000195917326002581/0001959173-26-002581-index.htm
2026-03-23,BABCOCK JOHN P,PEAPACK GLADSTONE FINANCIAL CORP,118314.33,Common,https://www.sec.gov/Archives/edgar/data/1602623/000195917326002580/0001959173-26-002580-index.htm
2026-03-23,PLANTE ROBERT A.,PEAPACK GLADSTONE FINANCIAL CORP,94513.89,Common,https://www.sec.gov/Archives/edgar/data/1702724/000195917326002579/0001959173-26-002579-index.htm
2026-03-23,TIMOTHY J. STEFFAN,"COMSTOCK HOLDING COMPANIES, INC.",152028.74,Common,https://www.sec.gov/Archives/edgar/data/1778330/000195004726002927/0001950047-26-002927-index.htm
2026-03-23,Hartman Todd G.,BEST BUY CO INC,341799.04,Common,https://www.sec.gov/Archives/edgar/data/1773763/000195917326002578/0001959173-26-002578-index.htm
2026-03-23,KANG SUN,"AMPRIUS TECHNOLOGIES, INC.",3507631.4,Common,https://www.sec.gov/Archives/edgar/data/1899287/000195004726002926/0001950047-26-002926-index.htm
2026-03-23,Bonfig Jason J,BEST BUY CO INC,405626.29,Common,https://www.sec.gov/Archives/edgar/data/1872242/000195917326002577/0001959173-26-002577-index.htm
2026-03-23,Conine Steven,Wayfair Inc.,8330639.27,Class A,https://www.sec.gov/Archives/edgar/data/1620052/000195917326002576/0001959173-26-002576-index.htm
2026-03-23,Prame Thomas M,HORIZON BANCORP INC /IN/,107744.0,Common Stock,https://www.sec.gov/Archives/edgar/data/1550175/000197248126000115/0001972481-26-000115-index.htm
2026-03-23,WILLIAM S. SIMON,"DARDEN RESTAURANTS, INC.",468081.69,Common,https://www.sec.gov/Archives/edgar/data/1349347/000195004726002925/0001950047-26-002925-index.htm
2026-03-23,Paul Campbell,Viatris Inc,283508.28,Common Stock,https://www.sec.gov/Archives/edgar/data/1792044/000162828026020563/0001628280-26-020563-index.htm
2026-03-23,Barry Corie S,BEST BUY CO INC,2744443.37,Common,https://www.sec.gov/Archives/edgar/data/1676999/000195917326002575/0001959173-26-002575-index.htm
2026-03-23,KINSEY WOLF,HYATT HOTELS CORPORATION,59057.28,Common,https://www.sec.gov/Archives/edgar/data/2033705/000195004726002924/0001950047-26-002924-index.htm
2026-03-23,Weber David A.,Northwest Natural Holding Co,79329.64,Common,https://www.sec.gov/Archives/edgar/data/1733998/000195917326002574/0001959173-26-002574-index.htm
2026-03-23,Terrance Coyne,Royalty Pharma plc,1586817.51,Common Stock,https://www.sec.gov/Archives/edgar/data/1814876/000195824426000170/0001958244-26-000170-index.htm
2026-03-23,Shah Niraj,Wayfair Inc.,8323118.54,Class A,https://www.sec.gov/Archives/edgar/data/1620093/000195917326002573/0001959173-26-002573-index.htm
2026-03-23,Scarlett Kathleen,BEST BUY CO INC,515291.34,Common,https://www.sec.gov/Archives/edgar/data/1707469/000195917326002572/0001959173-26-002572-index.htm
2026-03-23,LUIS MULLER,CELESTICA INC,10818563.0,Common Stock,https://www.sec.gov/Archives/edgar/data/1509513/000162828026020559/0001628280-26-020559-index.htm
2026-03-23,DIANA SROKA,"SOUNDHOUND AI, INC.",8796.65,Common,https://www.sec.gov/Archives/edgar/data/1920484/000195004726002923/0001950047-26-002923-index.htm
2026-03-23,KAREN FOSTER,"BioLife Solutions, Inc.",48576.45,Common,https://www.sec.gov/Archives/edgar/data/1683151/000195004726002922/0001950047-26-002922-index.htm
2026-03-23,SONALEE PAREKH,ASANA INC,124468.05,Common,https://www.sec.gov/Archives/edgar/data/1849122/000195004726002921/0001950047-26-002921-index.htm
2026-03-23,JACOB SUEN,"AIRGAIN, INC.",4770.0,Common,https://www.sec.gov/Archives/edgar/data/1705078/000195004726002920/0001950047-26-002920-index.htm
2026-03-23,PATRIZIO VINCIARELLI,VICOR CORPORATION,974734.96,Common,https://www.sec.gov/Archives/edgar/data/901484/000195004726002919/0001950047-26-002919-index.htm
2026-03-23,DAVID SCHWARZBACH,YELP INC.,187500.0,Common,https://www.sec.gov/Archives/edgar/data/1349334/000195004726002918/0001950047-26-002918-index.htm
2026-03-23,AGARWAL 2018 FAMILY TRUST,"Datadog, Inc.",2501600.0,Class A Common,https://www.sec.gov/Archives/edgar/data/1561550/000195004726002917/0001950047-26-002917-index.htm
2026-03-23,JEK TRUST U/A DTD 02/08/2021,ALIGNMENT HEALTHCARE INC,2046120.0,Common,https://www.sec.gov/Archives/edgar/data/1832466/000195004726002916/0001950047-26-002916-index.htm
2026-03-23,Brenton John,Nano Dimension Ltd.,33471.81,Ordinary,https://www.sec.gov/Archives/edgar/data/2103000/000197640826000282/0001976408-26-000282-index.htm
2026-03-23,Stehlin David,Nano Dimension Ltd.,37907.33,Ordinary Shares,https://www.sec.gov/Archives/edgar/data/1643303/000197640826000281/0001976408-26-000281-index.htm
2026-03-13,Gurusamy Mathi,LANTRONIX INC,86452.4,Common,https://www.sec.gov/Archives/edgar/data/2021595/000197407826000130/0001974078-26-000130-index.htm
